bug.id,package.name,dir.src.classes
1,com.google.gson,gson/src/main/java
2,com.google.gson,gson/src/main/java
3,com.google.gson,gson/src/main/java
4,com.google.gson,gson/src/main/java
5,com.google.gson,gson/src/main/java
6,com.google.gson,gson/src/main/java
7,com.google.gson,gson/src/main/java
8,com.google.gson,gson/src/main/java
9,com.google.gson,gson/src/main/java
10,com.google.gson,gson/src/main/java
11,com.google.gson,gson/src/main/java
12,com.google.gson,gson/src/main/java
13,com.google.gson,gson/src/main/java
14,com.google.gson,gson/src/main/java
15,com.google.gson,gson/src/main/java
16,com.google.gson,gson/src/main/java
17,com.google.gson,gson/src/main/java
18,com.google.gson,gson/src/main/java
