bug.id,package.name,dir.src.classes
1,org.apache.commons.lang3,src/main/java
3,org.apache.commons.lang3,src/main/java
4,org.apache.commons.lang3,src/main/java
5,org.apache.commons.lang3,src/main/java
6,org.apache.commons.lang3,src/main/java
7,org.apache.commons.lang3,src/main/java
8,org.apache.commons.lang3,src/main/java
9,org.apache.commons.lang3,src/main/java
10,org.apache.commons.lang3,src/main/java
11,org.apache.commons.lang3,src/main/java
12,org.apache.commons.lang3,src/main/java
13,org.apache.commons.lang3,src/main/java
14,org.apache.commons.lang3,src/main/java
15,org.apache.commons.lang3,src/main/java
16,org.apache.commons.lang3,src/main/java
17,org.apache.commons.lang3,src/main/java
18,org.apache.commons.lang3,src/main/java
19,org.apache.commons.lang3,src/main/java
20,org.apache.commons.lang3,src/main/java
21,org.apache.commons.lang3,src/main/java
22,org.apache.commons.lang3,src/main/java
23,org.apache.commons.lang3,src/main/java
24,org.apache.commons.lang3,src/main/java
25,org.apache.commons.lang3,src/main/java
26,org.apache.commons.lang3,src/main/java
27,org.apache.commons.lang3,src/main/java
28,org.apache.commons.lang3,src/main/java
29,org.apache.commons.lang3,src/main/java
30,org.apache.commons.lang3,src/main/java
31,org.apache.commons.lang3,src/main/java
32,org.apache.commons.lang3,src/main/java
33,org.apache.commons.lang3,src/main/java
34,org.apache.commons.lang3,src/main/java
35,org.apache.commons.lang3,src/main/java
36,org.apache.commons.lang3,src/java
37,org.apache.commons.lang3,src/java
38,org.apache.commons.lang3,src/java
39,org.apache.commons.lang3,src/java
40,org.apache.commons.lang,src/java
41,org.apache.commons.lang,src/java
42,org.apache.commons.lang,src/java
43,org.apache.commons.lang,src/java
44,org.apache.commons.lang,src/java
45,org.apache.commons.lang,src/java
46,org.apache.commons.lang,src/java
47,org.apache.commons.lang,src/java
48,org.apache.commons.lang,src/java
49,org.apache.commons.lang,src/java
50,org.apache.commons.lang,src/java
51,org.apache.commons.lang,src/java
52,org.apache.commons.lang,src/java
53,org.apache.commons.lang,src/java
54,org.apache.commons.lang,src/java
55,org.apache.commons.lang,src/java
56,org.apache.commons.lang,src/java
57,org.apache.commons.lang,src/java
58,org.apache.commons.lang,src/java
59,org.apache.commons.lang,src/java
60,org.apache.commons.lang,src/java
61,org.apache.commons.lang,src/java
62,org.apache.commons.lang,src/java
63,org.apache.commons.lang,src/java
64,org.apache.commons.lang,src/java
65,org.apache.commons.lang,src/java
